"","state","value","year","month","number_mass_shooting","time"
"226","Idaho",2.6,"2020","Feb",1,"2020 Feb"
"227","Idaho",2.8,"2021","Oct",1,"2021 Oct"
"228","Illinois",4.5,"2018","Jan",1,"2018 Jan"
"229","Illinois",4.4,"2018","Mar",3,"2018 Mar"
"230","Illinois",4.3,"2018","May",2,"2018 May"
"231","Illinois",4.3,"2018","Jun",10,"2018 Jun"
"232","Illinois",4.3,"2018","Jul",5,"2018 Jul"
"233","Illinois",4.3,"2018","Aug",8,"2018 Aug"
"234","Illinois",4.3,"2018","Sep",3,"2018 Sep"
"235","Illinois",4.4,"2018","Oct",3,"2018 Oct"
"236","Illinois",4.5,"2019","Jan",1,"2019 Jan"
"237","Illinois",4.5,"2019","Feb",2,"2019 Feb"
"238","Illinois",4.4,"2019","Mar",2,"2019 Mar"
"239","Illinois",4.2,"2019","Apr",2,"2019 Apr"
"240","Illinois",4.1,"2019","May",1,"2019 May"
"241","Illinois",4,"2019","Jun",6,"2019 Jun"
"242","Illinois",3.9,"2019","Jul",11,"2019 Jul"
"243","Illinois",3.8,"2019","Aug",6,"2019 Aug"
"244","Illinois",3.7,"2019","Sep",5,"2019 Sep"
"245","Illinois",3.6,"2019","Oct",1,"2019 Oct"
"246","Illinois",3.5,"2019","Dec",4,"2019 Dec"
"247","Illinois",3.5,"2020","Jan",1,"2020 Jan"
"248","Illinois",3.6,"2020","Feb",2,"2020 Feb"
"249","Illinois",3.7,"2020","Mar",3,"2020 Mar"
"250","Illinois",16.5,"2020","Apr",1,"2020 Apr"
"251","Illinois",15.4,"2020","May",6,"2020 May"
"252","Illinois",14.2,"2020","Jun",13,"2020 Jun"
"253","Illinois",12,"2020","Jul",15,"2020 Jul"
"254","Illinois",11.1,"2020","Aug",10,"2020 Aug"
"255","Illinois",10.4,"2020","Sep",7,"2020 Sep"
"256","Illinois",8.1,"2020","Oct",3,"2020 Oct"
"257","Illinois",8.1,"2020","Nov",4,"2020 Nov"
"258","Illinois",8,"2020","Dec",3,"2020 Dec"
"259","Illinois",7.7,"2021","Jan",3,"2021 Jan"
"260","Illinois",7.4,"2021","Feb",2,"2021 Feb"
"261","Illinois",7.1,"2021","Mar",6,"2021 Mar"
"262","Illinois",7.1,"2021","Apr",2,"2021 Apr"
"263","Illinois",7.1,"2021","May",6,"2021 May"
"264","Illinois",7.2,"2021","Jun",12,"2021 Jun"
"265","Illinois",7.1,"2021","Jul",17,"2021 Jul"
"266","Illinois",7,"2021","Aug",13,"2021 Aug"
"267","Illinois",6.2,"2021","Sep",11,"2021 Sep"
"268","Illinois",6,"2021","Oct",7,"2021 Oct"
"269","Indiana",3.3,"2018","Jan",1,"2018 Jan"
"270","Indiana",3.3,"2018","Mar",1,"2018 Mar"
"271","Indiana",3.4,"2018","May",1,"2018 May"
"272","Indiana",3.4,"2018","Jun",2,"2018 Jun"
"273","Indiana",3.4,"2018","Nov",1,"2018 Nov"
"274","Indiana",3.5,"2019","Jan",1,"2019 Jan"
"275","Indiana",3.4,"2019","Feb",1,"2019 Feb"
"276","Indiana",3.3,"2019","Apr",1,"2019 Apr"
"277","Indiana",3.2,"2019","May",3,"2019 May"
"278","Indiana",3.2,"2019","Jun",1,"2019 Jun"
"279","Indiana",3.2,"2019","Sep",2,"2019 Sep"
"280","Indiana",3.1,"2019","Oct",1,"2019 Oct"
"281","Indiana",3.2,"2020","Feb",1,"2020 Feb"
"282","Indiana",16.9,"2020","Apr",2,"2020 Apr"
"283","Indiana",6.3,"2020","Sep",1,"2020 Sep"
"284","Indiana",5.6,"2020","Oct",1,"2020 Oct"
"285","Indiana",5,"2020","Nov",1,"2020 Nov"
"286","Indiana",4.6,"2020","Dec",1,"2020 Dec"
"287","Indiana",4.2,"2021","Jan",1,"2021 Jan"
"288","Indiana",4,"2021","Feb",2,"2021 Feb"
"289","Indiana",3.9,"2021","Mar",2,"2021 Mar"
"290","Indiana",3.9,"2021","Apr",1,"2021 Apr"
"291","Indiana",4,"2021","May",2,"2021 May"
"292","Indiana",4.1,"2021","Jun",2,"2021 Jun"
"293","Indiana",4.1,"2021","Jul",2,"2021 Jul"
"294","Indiana",4.1,"2021","Aug",2,"2021 Aug"
"295","Iowa",2.7,"2019","May",1,"2019 May"
"296","Iowa",2.7,"2019","Jun",1,"2019 Jun"
"297","Iowa",2.8,"2019","Dec",1,"2019 Dec"
"298","Iowa",7.1,"2020","Jun",2,"2020 Jun"
"299","Iowa",6.1,"2020","Jul",1,"2020 Jul"
"300","Iowa",4.7,"2020","Sep",1,"2020 Sep"
"301","Iowa",3.6,"2021","Jan",1,"2021 Jan"
"302","Iowa",4.1,"2021","Jul",1,"2021 Jul"
"303","Iowa",3.9,"2021","Oct",2,"2021 Oct"
"304","Kansas",3.4,"2018","Feb",1,"2018 Feb"
"305","Kansas",3.2,"2018","Jun",1,"2018 Jun"
"306","Kansas",3.1,"2019","Apr",1,"2019 Apr"
"307","Kansas",3.1,"2019","Jul",1,"2019 Jul"
"308","Kansas",3.1,"2019","Sep",1,"2019 Sep"
"309","Kansas",3.1,"2019","Oct",1,"2019 Oct"
"310","Kansas",7,"2020","Jun",1,"2020 Jun"
"311","Kansas",4.7,"2020","Nov",1,"2020 Nov"
"312","Kansas",3.5,"2021","Apr",1,"2021 Apr"
"313","Kansas",3.9,"2021","Sep",1,"2021 Sep"
"314","Kentucky",4.2,"2018","Jan",2,"2018 Jan"
"315","Kentucky",4.2,"2018","Feb",1,"2018 Feb"
"316","Kentucky",4.2,"2018","Mar",1,"2018 Mar"
"317","Kentucky",4.2,"2019","Jan",1,"2019 Jan"
"318","Kentucky",4.2,"2019","Feb",1,"2019 Feb"
"319","Kentucky",4.1,"2019","Apr",2,"2019 Apr"
"320","Kentucky",4.1,"2019","Jun",1,"2019 Jun"
"321","Kentucky",16.9,"2020","Apr",1,"2020 Apr"
"322","Kentucky",10.9,"2020","May",2,"2020 May"
"323","Kentucky",5.7,"2020","Jun",1,"2020 Jun"
"324","Kentucky",5.6,"2020","Jul",2,"2020 Jul"
"325","Kentucky",5.5,"2020","Aug",4,"2020 Aug"
"326","Kentucky",5.3,"2021","Jan",1,"2021 Jan"
"327","Kentucky",4.4,"2021","Jun",1,"2021 Jun"
"328","Kentucky",4.4,"2021","Jul",1,"2021 Jul"
"329","Kentucky",4.2,"2021","Oct",1,"2021 Oct"
"330","Louisiana",4.7,"2018","Feb",1,"2018 Feb"
"331","Louisiana",4.9,"2018","Apr",3,"2018 Apr"
"332","Louisiana",4.9,"2018","May",2,"2018 May"
"333","Louisiana",4.9,"2018","Jun",1,"2018 Jun"
"334","Louisiana",4.9,"2018","Jul",2,"2018 Jul"
"335","Louisiana",4.8,"2018","Sep",1,"2018 Sep"
"336","Louisiana",4.8,"2018","Nov",1,"2018 Nov"
"337","Louisiana",4.8,"2018","Dec",2,"2018 Dec"
"338","Louisiana",4.7,"2019","Jan",1,"2019 Jan"
"339","Louisiana",4.6,"2019","Feb",2,"2019 Feb"
"340","Louisiana",4.4,"2019","Mar",1,"2019 Mar"
