"","...1","state","value","year","month","number_mass_shooting","time"
"833",833,"Virginia",5.8,2020,"Nov",1,"2020 Nov"
"834",834,"Virginia",5.3,2021,"Jan",1,"2021 Jan"
"835",835,"Virginia",5.1,2021,"Mar",3,"2021 Mar"
"836",836,"Virginia",4.7,2021,"Apr",1,"2021 Apr"
"837",837,"Virginia",4.5,2021,"May",1,"2021 May"
"838",838,"Virginia",4.3,2021,"Jun",2,"2021 Jun"
"839",839,"Virginia",4.2,2021,"Jul",2,"2021 Jul"
"840",840,"Virginia",4,2021,"Aug",1,"2021 Aug"
"841",841,"Washington",4.3,2018,"Apr",1,"2018 Apr"
"842",842,"Washington",4.3,2018,"Jul",1,"2018 Jul"
"843",843,"Washington",4.4,2018,"Oct",1,"2018 Oct"
"844",844,"Washington",4.1,2019,"Jun",1,"2019 Jun"
"845",845,"Washington",4.1,2019,"Jul",1,"2019 Jul"
"846",846,"Washington",4.1,2019,"Aug",1,"2019 Aug"
"847",847,"Washington",3.9,2019,"Nov",1,"2019 Nov"
"848",848,"Washington",4,2020,"Jan",1,"2020 Jan"
"849",849,"Washington",10.8,2020,"Jul",2,"2020 Jul"
"850",850,"Washington",7,2020,"Oct",2,"2020 Oct"
"851",851,"Washington",5.6,2021,"Feb",1,"2021 Feb"
"852",852,"Washington",5.4,2021,"Apr",1,"2021 Apr"
"853",853,"Washington",5.2,2021,"Jun",1,"2021 Jun"
"854",854,"Washington",5.1,2021,"Jul",1,"2021 Jul"
"855",855,"Washington",5.1,2021,"Sep",1,"2021 Sep"
"856",856,"Washington",5,2021,"Oct",2,"2021 Oct"
"857",857,"West Virginia",5,2020,"Jan",1,"2020 Jan"
"858",858,"West Virginia",6.7,2020,"Dec",2,"2020 Dec"
"859",859,"West Virginia",4.8,2021,"Aug",1,"2021 Aug"
"860",860,"Wisconsin",3,2018,"Aug",1,"2018 Aug"
"861",861,"Wisconsin",3,2018,"Sep",2,"2018 Sep"
"862",862,"Wisconsin",3.1,2018,"Dec",1,"2018 Dec"
"863",863,"Wisconsin",3.3,2019,"Jun",1,"2019 Jun"
"864",864,"Wisconsin",3.4,2019,"Jul",1,"2019 Jul"
"865",865,"Wisconsin",3.4,2019,"Sep",1,"2019 Sep"
"866",866,"Wisconsin",3.3,2020,"Feb",1,"2020 Feb"
"867",867,"Wisconsin",14.8,2020,"Apr",1,"2020 Apr"
"868",868,"Wisconsin",8.6,2020,"Jun",3,"2020 Jun"
"869",869,"Wisconsin",7.2,2020,"Jul",2,"2020 Jul"
"870",870,"Wisconsin",6.1,2020,"Aug",1,"2020 Aug"
"871",871,"Wisconsin",5.2,2020,"Sep",1,"2020 Sep"
"872",872,"Wisconsin",4.4,2020,"Nov",1,"2020 Nov"
"873",873,"Wisconsin",3.9,2021,"Apr",2,"2021 Apr"
"874",874,"Wisconsin",3.9,2021,"May",1,"2021 May"
"875",875,"Wisconsin",3.9,2021,"Aug",1,"2021 Aug"
"876",876,"Wisconsin",3.4,2021,"Sep",1,"2021 Sep"
"877",877,"Wisconsin",3.2,2021,"Oct",4,"2021 Oct"
"878",878,"Wyoming",3.8,2019,"Sep",1,"2019 Sep"
"879",879,"District of Columbia",NA,2018,"Apr",1,"2018 Apr"
"880",880,"District of Columbia",NA,2018,"Jan",2,"2018 Jan"
"881",881,"District of Columbia",NA,2018,"Jul",2,"2018 Jul"
"882",882,"District of Columbia",NA,2018,"Sep",1,"2018 Sep"
"883",883,"District of Columbia",NA,2019,"Feb",1,"2019 Feb"
"884",884,"District of Columbia",NA,2019,"Jul",3,"2019 Jul"
"885",885,"District of Columbia",NA,2019,"May",2,"2019 May"
"886",886,"District of Columbia",NA,2019,"Sep",1,"2019 Sep"
"887",887,"District of Columbia",NA,2020,"Aug",2,"2020 Aug"
"888",888,"District of Columbia",NA,2020,"Jul",1,"2020 Jul"
"889",889,"District of Columbia",NA,2020,"Jun",2,"2020 Jun"
"890",890,"District of Columbia",NA,2020,"Mar",1,"2020 Mar"
"891",891,"District of Columbia",NA,2020,"May",1,"2020 May"
"892",892,"District of Columbia",NA,2020,"Oct",1,"2020 Oct"
"893",893,"District of Columbia",NA,2021,"Apr",2,"2021 Apr"
"894",894,"District of Columbia",NA,2021,"Aug",1,"2021 Aug"
"895",895,"District of Columbia",NA,2021,"Jan",2,"2021 Jan"
"896",896,"District of Columbia",NA,2021,"Jul",2,"2021 Jul"
"897",897,"District of Columbia",NA,2021,"Jun",1,"2021 Jun"
"898",898,"District of Columbia",NA,2021,"Mar",2,"2021 Mar"
"899",899,"District of Columbia",NA,2021,"May",2,"2021 May"
"900",900,"Alabama",NA,2021,"Nov",1,"2021 Nov"
"901",901,"California",NA,2021,"Nov",3,"2021 Nov"
"902",902,"Florida",NA,2021,"Nov",1,"2021 Nov"
"903",903,"Iowa",NA,2021,"Nov",1,"2021 Nov"
"904",904,"New York",NA,2021,"Nov",1,"2021 Nov"
"905",905,"Pennsylvania",NA,2021,"Nov",1,"2021 Nov"
"906",906,"South Dakota",NA,2021,"Nov",1,"2021 Nov"
"907",907,"Texas",NA,2021,"Nov",2,"2021 Nov"
"908",908,"Virginia",NA,2021,"Nov",1,"2021 Nov"
"909",909,"Wisconsin",NA,2021,"Nov",1,"2021 Nov"
"910",910,"District of Columbia",NA,2021,"Oct",2,"2021 Oct"
"911",911,"District of Columbia",NA,2021,"Sep",2,"2021 Sep"
