Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2107875,4-Sep-21,Pennsylvania,Pittsburgh,7300 block of Hamilton Ave,0,4,N/A
2107476,4-Sep-21,Illinois,Chicago,1400 block of S Tripp Ave,0,5,N/A
2107621,3-Sep-21,Texas,Austin,9345 US-290,1,3,N/A
2107168,3-Sep-21,New York,Syracuse,Nelson St and W Marcellus St,0,4,N/A
2107467,3-Sep-21,Louisiana,New Iberia,927 S Lewis St,1,3,N/A
2107198,2-Sep-21,New York,Niagara Falls,336 19th St,0,4,N/A
2104725,31-Aug-21,North Carolina,Elm City,3500 block of London Church Rd,2,2,N/A
2104181,30-Aug-21,Illinois,Normal,2000 block of Lambert Dr,3,3,N/A
2103256,29-Aug-21,Tennessee,Nashville,2621 Jefferson St,0,5,N/A
2102991,29-Aug-21,Nevada,Las Vegas,1750 S Rainbow Blvd,1,3,N/A
2103311,29-Aug-21,Wisconsin,Milwaukee,N 41st St and W Lloyd St,0,4,N/A
2103132,28-Aug-21,New York,Albany,Sherman St and Henry Johnson Blvd,0,5,N/A
2103035,28-Aug-21,California,San Diego,3100 block of Mission Blvd,0,4,N/A
2102694,28-Aug-21,Illinois,Chicago,2800 block of W 12th Pl,0,4,N/A
2101774,27-Aug-21,West Virginia,Huntington,300 block of Oney Ave,2,2,N/A
2101199,27-Aug-21,California,Los Angeles,8400 block of Fountain Ave,0,4,N/A
2100578,26-Aug-21,Minnesota,Minneapolis,3006 Lyndale Ave,0,7,N/A
2098246,23-Aug-21,Illinois,Chicago,W Wilson Ave and N Sheridan Rd,0,4,N/A
2097075,22-Aug-21,Illinois,Chicago,3400 block of W Lake St,1,4,N/A
2098321,22-Aug-21,Oregon,Portland,322 NW Everett St,0,5,N/A
2097481,22-Aug-21,Illinois,Carbondale,501 W Cherry St,1,3,N/A
2097494,22-Aug-21,Colorado,Denver,19th St and Blake St,1,5,N/A
2097271,22-Aug-21,Michigan,Grand Rapids,1500 block of Linden Ave SE,1,3,N/A
2096687,21-Aug-21,Illinois,Chicago,3500 block of W Walnut St,0,4,N/A
2097063,21-Aug-21,Illinois,Chicago,1600 block of E 87th Pl,1,5,N/A
2095800,20-Aug-21,Michigan,Flint,2905 Saginaw St,1,3,N/A
2095116,19-Aug-21,Illinois,Chicago,300 block of E 47th St,0,4,N/A
2095087,19-Aug-21,Pennsylvania,Philadelphia,5100 block of Germantown Ave,1,4,N/A
2095394,19-Aug-21,Maryland,Edgewood,1700 block of Crimson Tree Way,1,3,N/A
2094421,18-Aug-21,Maryland,Germantown,19575 Scenery Dr,1,3,N/A
2094071,18-Aug-21,Ohio,Youngstown,619 Samuel Ave,2,4,N/A
2094035,18-Aug-21,California,Los Angeles,W Jefferson Blvd and Culver Blvd,0,4,N/A
2094457,18-Aug-21,North Carolina,Durham,Ridgeway Ave and Wabash St,1,3,N/A
2093581,17-Aug-21,New York,Brooklyn,422 Mother Gaston Blvd,0,5,N/A
2092469,16-Aug-21,New York,Brooklyn,927 DeKalb Ave,0,8,N/A
2092227,16-Aug-21,Michigan,Detroit,4421 Central Ave,1,3,N/A
2091597,15-Aug-21,Texas,San Antonio,1621 S New Braunfels Ave,3,2,N/A
